Model,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,Top10_Recall,Top10_EF,Top20_Recall,Top20_EF
RF,0.9063157894736842,0.7710339556906798,0.44105705789705035,0.7073684210526316,0.36,3.6359999999999997,0.52,2.626
SVM,0.8810526315789474,0.6379913499639535,0.4870611518459021,0.7205263157894737,0.32,3.2319999999999998,0.52,2.626
KNN,0.7263157894736842,0.37723243659065464,0.3202015769753031,0.6578947368421053,0.08,0.8079999999999999,0.28,1.4140000000000001
XGB,0.8894736842105263,0.712765667187292,0.5673153797827238,0.7942105263157895,0.32,3.2319999999999998,0.52,2.626
