ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,Top10_Recall,Top10_EF,Fold,Model,Top20_Recall,Top20_EF
0.8586474501108647,0.6887547318746083,0.5245241702616155,0.725609756097561,0.36363636363636365,3.7818181818181817,1,RF,0.5909090909090909,3.0727272727272728
0.8109756097560976,0.6172359980708109,0.49694186733680945,0.7195121951219512,0.36363636363636365,3.7818181818181817,1,SVM,0.5454545454545454,2.836363636363636
0.5853658536585367,0.34712595739831653,0.07253027534555852,0.5121951219512195,0.22727272727272727,2.3636363636363633,1,KNN,0.3181818181818182,1.6545454545454543
0.8553215077605322,0.6309362450278877,0.4432569827432262,0.7178492239467849,0.4090909090909091,4.254545454545455,1,XGB,0.5454545454545454,2.836363636363636
0.8658854166666667,0.7808760806561195,0.5352148209293742,0.7633928571428572,0.16666666666666666,1.7333333333333332,2,RF,0.3333333333333333,1.7333333333333332
0.8627232142857144,0.7741454135123418,0.4991448599864115,0.7410714285714286,0.16666666666666666,1.7333333333333332,2,SVM,0.3541666666666667,1.8416666666666666
0.9010416666666666,0.8951138832578692,0.5558243599778628,0.7782738095238095,0.20833333333333334,2.1666666666666665,2,KNN,0.3958333333333333,2.058333333333333
0.8645833333333333,0.7672382336130436,0.5932559114552949,0.7961309523809523,0.16666666666666666,1.7333333333333332,2,XGB,0.3333333333333333,1.7333333333333332
0.9160493827160493,0.7223834207465663,0.5383472432010762,0.7325925925925926,0.25925925925925924,2.6444444444444444,3,RF,0.5925925925925926,3.022222222222222
0.9076543209876544,0.7521397082160108,0.5802366898760873,0.7748148148148148,0.2962962962962963,3.022222222222222,3,SVM,0.5555555555555556,2.8333333333333335
0.6730864197530864,0.41697780960495523,0.28707079014455106,0.6266666666666667,0.18518518518518517,1.8888888888888888,3,KNN,0.3333333333333333,1.7
0.8780246913580246,0.6454475273036328,0.5825903418080565,0.8088888888888889,0.2962962962962963,3.022222222222222,3,XGB,0.5185185185185185,2.6444444444444444
0.95671834625323,0.874916210332877,0.7493075430155055,0.8275193798449612,0.5,5.199999999999999,4,RF,0.8333333333333334,4.333333333333333
0.9024547803617571,0.763398292852316,0.6386958637583453,0.7881136950904393,0.4444444444444444,4.622222222222222,4,SVM,0.6666666666666666,3.4666666666666663
0.5032299741602067,0.29762841395218415,-0.15102862263624137,0.4024547803617571,0.2222222222222222,2.311111111111111,4,KNN,0.2222222222222222,1.1555555555555554
0.9282945736434108,0.8550329875740674,0.7517403146016393,0.8055555555555556,0.5555555555555556,5.777777777777778,4,XGB,0.7777777777777778,4.044444444444444
0.9400969529085872,0.7171829955209458,0.710046946804693,0.861842105263158,0.42105263157894735,4.0,5,RF,0.7894736842105263,3.7500000000000004
0.9141274238227147,0.6022084416964538,0.6177395184671742,0.8355263157894737,0.3157894736842105,3.0,5,SVM,0.6842105263157895,3.2500000000000004
0.7271468144044321,0.3424246403396797,0.26551033051027584,0.6513157894736842,0.15789473684210525,1.5,5,KNN,0.47368421052631576,2.25
0.9390581717451524,0.7452777971761189,0.6849174907329854,0.8552631578947368,0.42105263157894735,4.0,5,XGB,0.7894736842105263,3.7500000000000004
