Model,ROC_AUC_mean,ROC_AUC_sd,PR_AUC_mean,PR_AUC_sd,MCC_mean,MCC_sd,Balanced_Accuracy_mean,Balanced_Accuracy_sd,Top10_Recall_mean,Top10_Recall_sd,Top10_EF_mean,Top10_EF_sd,Top20_Recall_mean,Top20_Recall_sd,Top20_EF_mean,Top20_EF_sd
KNN,0.6779741457285857,0.15109002396305649,0.45985414091060095,0.24703438047362147,0.20598142666840139,0.26352164917803544,0.5941812335954274,0.14290774359816724,0.20018164097111465,0.028719506499118856,2.046060606060606,0.356558932033766,0.34865098351940454,0.09355040635461942,1.7636868686868687,0.4210429195316626
RF,0.9074795097310796,0.04380765335268132,0.7568226878262234,0.07401901903418277,0.611488144842453,0.10890129506297669,0.782191338188226,0.06002868052484561,0.3421229842282474,0.13159519664625305,3.4719191919191914,1.3293386747217615,0.6279284068757753,0.1985531209294946,3.182323232323232,0.9726634181921703
SVM,0.8795870698427877,0.04328874248503985,0.7018255708695866,0.08460472859144191,0.5665517598849655,0.06595730239276945,0.7718076898776215,0.04476194931330009,0.3173666489455963,0.10179217124594206,3.2319191919191916,1.0699124171393393,0.5612107921318448,0.13171691898058813,2.8456060606060603,0.6239753768304686
XGB,0.8930564555680907,0.038139486650408616,0.72878655813895,0.09247801237776065,0.6111522082682403,0.11675957878148209,0.7967375557333837,0.04968499518559042,0.369732411837675,0.14606647196497988,3.757575757575758,1.502104091725107,0.5929115718589403,0.19234054159189817,3.001717171717172,0.9234433538626408
